codigo_distrito;ano;faixa_etaria;homens;mulheres;total
80001;2021;00 a 04;2.168;2.074;4242
80001;2021;05 a 09;2.382;2.282;4664
80001;2021;10 a 14;1.997;1.934;3931
80001;2021;15 a 19;1.976;1.993;3969
80001;2021;20 a 24;2.387;2.274;4661
80001;2021;25 a 29;2.565;2.594;5159
80001;2021;30 a 34;2.963;3.001;5964
80001;2021;35 a 39;3.213;3.276;6489
80001;2021;40 a 44;3.103;3.516;6619
80001;2021;45 a 49;2.817;3.138;5955
80001;2021;50 a 54;2.479;3.036;5515
80001;2021;55 a 59;2.548;3.165;5713
80001;2021;60 a 64;2.378;3.044;5422
80001;2021;65 a 69;1.888;2.639;4527
80001;2021;70 a 74;1.372;2.202;3574
80001;2021;75 e +;1.934;3.926;5860
80002;2021;00 a 04;775;740;1515
80002;2021;05 a 09;860;819;1679
80002;2021;10 a 14;837;837;1674
80002;2021;15 a 19;870;857;1727
80002;2021;20 a 24;1.035;975;2010
80002;2021;25 a 29;1.204;1.139;2343
80002;2021;30 a 34;1.342;1.433;2775
80002;2021;35 a 39;1.354;1.605;2959
80002;2021;40 a 44;1.475;1.775;3250
80002;2021;45 a 49;1.312;1.638;2950
80002;2021;50 a 54;1.230;1.594;2824
80002;2021;55 a 59;1.348;1.772;3120
80002;2021;60 a 64;1.254;1.694;2948
80002;2021;65 a 69;1.134;1.538;2672
80002;2021;70 a 74;910;1.348;2258
80002;2021;75 e +;1.532;2.472;4004
80003;2021;00 a 04;3.076;2.936;6012
80003;2021;05 a 09;2.964;2.835;5799
80003;2021;10 a 14;2.844;2.764;5608
80003;2021;15 a 19;3.229;3.116;6345
80003;2021;20 a 24;4.086;3.983;8069
80003;2021;25 a 29;3.994;4.131;8125
80003;2021;30 a 34;3.787;3.946;7733
80003;2021;35 a 39;3.365;3.656;7021
80003;2021;40 a 44;3.104;3.432;6536
80003;2021;45 a 49;3.011;3.335;6346
80003;2021;50 a 54;2.936;2.991;5927
80003;2021;55 a 59;2.258;2.399;4657
80003;2021;60 a 64;1.599;1.708;3307
80003;2021;65 a 69;1.030;1.157;2187
80003;2021;70 a 74;586;665;1251
80003;2021;75 e +;411;686;1097
80004;2021;00 a 04;2.448;2.343;4791
80004;2021;05 a 09;2.587;2.477;5064
80004;2021;10 a 14;2.371;2.283;4654
80004;2021;15 a 19;2.540;2.468;5008
80004;2021;20 a 24;3.065;3.014;6079
80004;2021;25 a 29;3.086;3.047;6133
80004;2021;30 a 34;3.310;3.340;6650
80004;2021;35 a 39;3.383;3.607;6990
80004;2021;40 a 44;3.085;3.438;6523
80004;2021;45 a 49;2.840;3.208;6048
80004;2021;50 a 54;2.728;3.053;5781
80004;2021;55 a 59;2.420;2.919;5339
80004;2021;60 a 64;2.170;2.715;4885
80004;2021;65 a 69;1.690;2.315;4005
80004;2021;70 a 74;1.262;1.933;3195
80004;2021;75 e +;1.637;2.965;4602
80005;2021;00 a 04;2.875;2.746;5621
80005;2021;05 a 09;3.059;2.924;5983
80005;2021;10 a 14;2.824;2.775;5599
80005;2021;15 a 19;2.951;2.879;5830
80005;2021;20 a 24;3.553;3.481;7034
80005;2021;25 a 29;3.616;3.613;7229
80005;2021;30 a 34;3.850;4.077;7927
80005;2021;35 a 39;4.153;4.470;8623
80005;2021;40 a 44;3.971;4.378;8349
80005;2021;45 a 49;3.434;3.929;7363
80005;2021;50 a 54;2.873;3.450;6323
80005;2021;55 a 59;2.647;3.264;5911
80005;2021;60 a 64;2.247;3.082;5329
80005;2021;65 a 69;1.853;2.737;4590
80005;2021;70 a 74;1.363;2.239;3602
80005;2021;75 e +;1.645;3.082;4727
80006;2021;00 a 04;477;458;935
80006;2021;05 a 09;532;510;1042
80006;2021;10 a 14;400;434;834
80006;2021;15 a 19;380;419;799
80006;2021;20 a 24;414;431;845
80006;2021;25 a 29;489;457;946
80006;2021;30 a 34;591;665;1256
80006;2021;35 a 39;705;820;1525
80006;2021;40 a 44;695;825;1520
80006;2021;45 a 49;618;704;1322
80006;2021;50 a 54;481;541;1022
80006;2021;55 a 59;410;540;950
80006;2021;60 a 64;394;514;908
80006;2021;65 a 69;322;444;766
80006;2021;70 a 74;242;403;645
80006;2021;75 e +;310;717;1027
80007;2021;00 a 04;1.925;1.832;3757
80007;2021;05 a 09;2.138;2.034;4172
80007;2021;10 a 14;1.513;1.496;3009
80007;2021;15 a 19;1.322;1.273;2595
80007;2021;20 a 24;1.431;1.393;2824
80007;2021;25 a 29;1.771;1.787;3558
80007;2021;30 a 34;3.171;3.078;6249
80007;2021;35 a 39;4.417;4.338;8755
80007;2021;40 a 44;4.050;3.916;7966
80007;2021;45 a 49;3.026;3.006;6032
80007;2021;50 a 54;2.440;2.530;4970
80007;2021;55 a 59;2.105;2.374;4479
80007;2021;60 a 64;1.786;2.359;4145
80007;2021;65 a 69;1.484;2.177;3661
80007;2021;70 a 74;1.102;1.803;2905
80007;2021;75 e +;1.400;2.850;4250
80008;2021;00 a 04;1.842;1.764;3606
80008;2021;05 a 09;2.126;2.038;4164
80008;2021;10 a 14;1.452;1.410;2862
80008;2021;15 a 19;1.254;1.239;2493
80008;2021;20 a 24;1.327;1.365;2692
80008;2021;25 a 29;1.414;1.373;2787
80008;2021;30 a 34;1.953;1.787;3740
80008;2021;35 a 39;2.373;2.194;4567
80008;2021;40 a 44;2.165;2.126;4291
80008;2021;45 a 49;1.782;1.726;3508
80008;2021;50 a 54;1.414;1.511;2925
80008;2021;55 a 59;1.305;1.532;2837
80008;2021;60 a 64;1.132;1.393;2525
80008;2021;65 a 69;928;1.262;2190
80008;2021;70 a 74;625;971;1596
80008;2021;75 e +;796;1.855;2651
80009;2021;00 a 04;1.396;1.336;2732
80009;2021;05 a 09;1.541;1.475;3016
80009;2021;10 a 14;1.185;1.181;2366
80009;2021;15 a 19;1.137;1.114;2251
80009;2021;20 a 24;1.262;1.246;2508
80009;2021;25 a 29;1.385;1.264;2649
80009;2021;30 a 34;1.754;1.657;3411
80009;2021;35 a 39;1.844;1.870;3714
80009;2021;40 a 44;1.720;1.719;3439
80009;2021;45 a 49;1.334;1.369;2703
80009;2021;50 a 54;1.125;1.217;2342
80009;2021;55 a 59;943;1.126;2069
80009;2021;60 a 64;824;965;1789
80009;2021;65 a 69;642;848;1490
80009;2021;70 a 74;423;633;1056
80009;2021;75 e +;555;1.112;1667
80010;2021;00 a 04;1.273;1.219;2492
80010;2021;05 a 09;1.460;1.402;2862
80010;2021;10 a 14;967;906;1873
80010;2021;15 a 19;893;875;1768
80010;2021;20 a 24;1.004;1.024;2028
80010;2021;25 a 29;1.149;1.079;2228
80010;2021;30 a 34;1.484;1.466;2950
80010;2021;35 a 39;1.659;1.590;3249
80010;2021;40 a 44;1.501;1.455;2956
80010;2021;45 a 49;1.268;1.198;2466
80010;2021;50 a 54;1.034;1.018;2052
80010;2021;55 a 59;849;907;1756
80010;2021;60 a 64;720;827;1547
80010;2021;65 a 69;523;658;1181
80010;2021;70 a 74;378;457;835
80010;2021;75 e +;370;673;1043
80011;2021;00 a 04;11.565;11.047;22612
80011;2021;05 a 09;11.822;11.304;23126
80011;2021;10 a 14;9.636;9.436;19072
80011;2021;15 a 19;10.258;10.221;20479
80011;2021;20 a 24;12.196;12.529;24725
80011;2021;25 a 29;11.595;12.153;23748
80011;2021;30 a 34;11.401;12.102;23503
80011;2021;35 a 39;11.071;11.931;23002
80011;2021;40 a 44;9.786;11.106;20892
80011;2021;45 a 49;8.638;9.795;18433
80011;2021;50 a 54;7.856;8.978;16834
80011;2021;55 a 59;6.358;7.781;14139
80011;2021;60 a 64;5.115;6.452;11567
80011;2021;65 a 69;3.710;4.922;8632
80011;2021;70 a 74;2.466;3.661;6127
80011;2021;75 e +;2.411;4.356;6767
80012;2021;00 a 04;1.286;1.226;2512
80012;2021;05 a 09;1.415;1.350;2765
80012;2021;10 a 14;1.235;1.128;2363
80012;2021;15 a 19;1.191;1.133;2324
80012;2021;20 a 24;1.322;1.300;2622
80012;2021;25 a 29;1.527;1.527;3054
80012;2021;30 a 34;2.251;2.087;4338
80012;2021;35 a 39;2.667;2.673;5340
80012;2021;40 a 44;2.391;2.563;4954
80012;2021;45 a 49;1.922;2.127;4049
80012;2021;50 a 54;1.652;1.901;3553
80012;2021;55 a 59;1.546;1.896;3442
80012;2021;60 a 64;1.416;1.843;3259
80012;2021;65 a 69;1.222;1.724;2946
80012;2021;70 a 74;955;1.433;2388
80012;2021;75 e +;1.372;2.419;3791
80013;2021;00 a 04;5.429;5.177;10606
80013;2021;05 a 09;5.722;5.460;11182
80013;2021;10 a 14;4.869;4.681;9550
80013;2021;15 a 19;5.100;4.830;9930
80013;2021;20 a 24;5.887;5.797;11684
80013;2021;25 a 29;5.838;5.885;11723
80013;2021;30 a 34;5.973;6.103;12076
80013;2021;35 a 39;5.914;6.425;12339
80013;2021;40 a 44;5.412;6.029;11441
80013;2021;45 a 49;4.560;5.244;9804
80013;2021;50 a 54;4.143;4.736;8879
80013;2021;55 a 59;3.519;4.376;7895
80013;2021;60 a 64;3.025;3.830;6855
80013;2021;65 a 69;2.166;2.971;5137
80013;2021;70 a 74;1.411;2.194;3605
80013;2021;75 e +;1.484;2.676;4160
80014;2021;00 a 04;1.198;1.148;2346
80014;2021;05 a 09;1.318;1.262;2580
80014;2021;10 a 14;1.183;1.100;2283
80014;2021;15 a 19;1.137;1.068;2205
80014;2021;20 a 24;1.213;1.216;2429
80014;2021;25 a 29;1.231;1.256;2487
80014;2021;30 a 34;1.413;1.582;2995
80014;2021;35 a 39;1.653;1.869;3522
80014;2021;40 a 44;1.711;1.898;3609
80014;2021;45 a 49;1.517;1.736;3253
80014;2021;50 a 54;1.305;1.449;2754
80014;2021;55 a 59;1.132;1.348;2480
80014;2021;60 a 64;968;1.307;2275
80014;2021;65 a 69;765;1.120;1885
80014;2021;70 a 74;542;849;1391
80014;2021;75 e +;756;1.592;2348
80015;2021;00 a 04;1.550;1.480;3030
80015;2021;05 a 09;1.750;1.669;3419
80015;2021;10 a 14;1.566;1.515;3081
80015;2021;15 a 19;1.453;1.522;2975
80015;2021;20 a 24;1.545;1.621;3166
80015;2021;25 a 29;1.635;1.646;3281
80015;2021;30 a 34;2.022;2.197;4219
80015;2021;35 a 39;2.394;2.753;5147
80015;2021;40 a 44;2.552;2.895;5447
80015;2021;45 a 49;2.308;2.760;5068
80015;2021;50 a 54;2.076;2.348;4424
80015;2021;55 a 59;1.962;2.350;4312
80015;2021;60 a 64;1.786;2.297;4083
80015;2021;65 a 69;1.574;2.125;3699
80015;2021;70 a 74;1.213;1.783;2996
80015;2021;75 e +;1.846;3.267;5113
80016;2021;00 a 04;2.772;2.651;5423
80016;2021;05 a 09;3.060;2.927;5987
80016;2021;10 a 14;2.974;2.842;5816
80016;2021;15 a 19;3.031;2.897;5928
80016;2021;20 a 24;3.434;3.387;6821
80016;2021;25 a 29;3.497;3.448;6945
80016;2021;30 a 34;3.584;3.821;7405
80016;2021;35 a 39;3.958;4.462;8420
80016;2021;40 a 44;4.220;4.918;9138
80016;2021;45 a 49;3.871;4.661;8532
80016;2021;50 a 54;3.685;4.426;8111
80016;2021;55 a 59;3.416;4.157;7573
80016;2021;60 a 64;2.918;3.678;6596
80016;2021;65 a 69;2.220;3.024;5244
80016;2021;70 a 74;1.531;2.339;3870
80016;2021;75 e +;1.843;3.384;5227
80017;2021;00 a 04;8.014;7.659;15673
80017;2021;05 a 09;8.325;7.963;16288
80017;2021;10 a 14;7.715;7.328;15043
80017;2021;15 a 19;7.911;7.618;15529
80017;2021;20 a 24;9.347;9.176;18523
80017;2021;25 a 29;8.946;9.085;18031
80017;2021;30 a 34;9.348;9.782;19130
80017;2021;35 a 39;9.595;10.527;20122
80017;2021;40 a 44;9.202;10.277;19479
80017;2021;45 a 49;8.071;9.030;17101
80017;2021;50 a 54;6.719;7.739;14458
80017;2021;55 a 59;5.280;6.601;11881
80017;2021;60 a 64;4.423;5.717;10140
80017;2021;65 a 69;3.276;4.495;7771
80017;2021;70 a 74;2.167;3.211;5378
80017;2021;75 e +;2.042;3.688;5730
80018;2021;00 a 04;4.609;4.404;9013
80018;2021;05 a 09;4.846;4.636;9482
80018;2021;10 a 14;4.090;3.902;7992
80018;2021;15 a 19;4.290;4.107;8397
80018;2021;20 a 24;5.236;5.112;10348
80018;2021;25 a 29;5.297;5.298;10595
80018;2021;30 a 34;5.646;5.833;11479
80018;2021;35 a 39;5.511;6.044;11555
80018;2021;40 a 44;4.998;5.523;10521
80018;2021;45 a 49;4.429;5.090;9519
80018;2021;50 a 54;4.099;4.801;8900
80018;2021;55 a 59;3.702;4.616;8318
80018;2021;60 a 64;3.153;4.065;7218
80018;2021;65 a 69;2.350;3.288;5638
80018;2021;70 a 74;1.612;2.467;4079
80018;2021;75 e +;1.816;3.421;5237
80019;2021;00 a 04;11.120;10.623;21743
80019;2021;05 a 09;11.425;10.927;22352
80019;2021;10 a 14;10.049;9.589;19638
80019;2021;15 a 19;10.557;10.325;20882
80019;2021;20 a 24;12.388;12.531;24919
80019;2021;25 a 29;12.135;12.312;24447
80019;2021;30 a 34;12.357;13.109;25466
80019;2021;35 a 39;12.355;13.519;25874
80019;2021;40 a 44;11.246;12.791;24037
80019;2021;45 a 49;9.826;11.097;20923
80019;2021;50 a 54;8.463;9.759;18222
80019;2021;55 a 59;6.547;8.361;14908
80019;2021;60 a 64;5.230;7.094;12324
80019;2021;65 a 69;3.996;5.626;9622
80019;2021;70 a 74;2.706;3.966;6672
80019;2021;75 e +;2.389;4.193;6582
80020;2021;00 a 04;2.102;2.009;4111
80020;2021;05 a 09;2.282;2.180;4462
80020;2021;10 a 14;2.107;2.023;4130
80020;2021;15 a 19;2.216;2.194;4410
80020;2021;20 a 24;2.706;2.570;5276
80020;2021;25 a 29;2.892;2.690;5582
80020;2021;30 a 34;3.153;3.098;6251
80020;2021;35 a 39;3.247;3.505;6752
80020;2021;40 a 44;3.178;3.575;6753
80020;2021;45 a 49;2.938;3.332;6270
80020;2021;50 a 54;2.708;3.149;5857
80020;2021;55 a 59;2.662;3.284;5946
80020;2021;60 a 64;2.369;3.042;5411
80020;2021;65 a 69;1.887;2.612;4499
80020;2021;70 a 74;1.402;2.192;3594
80020;2021;75 e +;1.916;3.682;5598
80021;2021;00 a 04;2.644;2.529;5173
80021;2021;05 a 09;2.857;2.735;5592
80021;2021;10 a 14;2.372;2.303;4675
80021;2021;15 a 19;2.397;2.341;4738
80021;2021;20 a 24;2.748;2.807;5555
80021;2021;25 a 29;2.797;2.954;5751
80021;2021;30 a 34;3.327;3.428;6755
80021;2021;35 a 39;3.496;3.825;7321
80021;2021;40 a 44;3.317;3.655;6972
80021;2021;45 a 49;2.733;3.230;5963
80021;2021;50 a 54;2.445;2.911;5356
80021;2021;55 a 59;2.340;2.920;5260
80021;2021;60 a 64;2.128;2.816;4944
80021;2021;65 a 69;1.685;2.431;4116
80021;2021;70 a 74;1.194;1.919;3113
80021;2021;75 e +;1.550;3.127;4677
80022;2021;00 a 04;10.399;9.935;20334
80022;2021;05 a 09;10.836;10.361;21197
80022;2021;10 a 14;9.143;9.084;18227
80022;2021;15 a 19;9.519;9.277;18796
80022;2021;20 a 24;11.110;11.123;22233
80022;2021;25 a 29;11.134;11.444;22578
80022;2021;30 a 34;11.906;12.510;24416
80022;2021;35 a 39;11.924;12.832;24756
80022;2021;40 a 44;11.034;12.293;23327
80022;2021;45 a 49;9.461;10.840;20301
80022;2021;50 a 54;8.176;9.503;17679
80022;2021;55 a 59;6.575;8.268;14843
80022;2021;60 a 64;5.369;7.380;12749
80022;2021;65 a 69;4.174;5.876;10050
80022;2021;70 a 74;2.979;4.309;7288
80022;2021;75 e +;2.968;5.422;8390
80023;2021;00 a 04;6.850;6.535;13385
80023;2021;05 a 09;7.149;6.823;13972
80023;2021;10 a 14;6.255;6.035;12290
80023;2021;15 a 19;6.683;6.557;13240
80023;2021;20 a 24;8.098;7.910;16008
80023;2021;25 a 29;8.031;8.015;16046
80023;2021;30 a 34;8.301;8.563;16864
80023;2021;35 a 39;8.144;8.825;16969
80023;2021;40 a 44;7.591;8.524;16115
80023;2021;45 a 49;6.761;7.607;14368
80023;2021;50 a 54;6.110;6.981;13091
80023;2021;55 a 59;5.129;6.312;11441
80023;2021;60 a 64;4.288;5.704;9992
80023;2021;65 a 69;3.347;4.537;7884
80023;2021;70 a 74;2.384;3.447;5831
80023;2021;75 e +;2.353;3.942;6295
80024;2021;00 a 04;4.503;4.292;8795
80024;2021;05 a 09;4.664;4.446;9110
80024;2021;10 a 14;4.249;4.002;8251
80024;2021;15 a 19;4.478;4.403;8881
80024;2021;20 a 24;5.376;5.197;10573
80024;2021;25 a 29;5.409;5.492;10901
80024;2021;30 a 34;5.539;5.815;11354
80024;2021;35 a 39;5.614;6.016;11630
80024;2021;40 a 44;5.274;5.704;10978
80024;2021;45 a 49;4.625;5.102;9727
80024;2021;50 a 54;4.017;4.551;8568
80024;2021;55 a 59;3.459;4.080;7539
80024;2021;60 a 64;2.979;3.650;6629
80024;2021;65 a 69;2.355;2.926;5281
80024;2021;70 a 74;1.612;2.196;3808
80024;2021;75 e +;1.502;2.396;3898
80025;2021;00 a 04;9.221;8.797;18018
80025;2021;05 a 09;9.022;8.613;17635
80025;2021;10 a 14;8.336;8.318;16654
80025;2021;15 a 19;9.555;9.289;18844
80025;2021;20 a 24;11.258;11.219;22477
80025;2021;25 a 29;10.600;11.047;21647
80025;2021;30 a 34;9.836;10.371;20207
80025;2021;35 a 39;9.374;10.171;19545
80025;2021;40 a 44;8.276;9.492;17768
80025;2021;45 a 49;7.170;8.190;15360
80025;2021;50 a 54;6.090;7.061;13151
80025;2021;55 a 59;4.916;6.362;11278
80025;2021;60 a 64;4.055;5.557;9612
80025;2021;65 a 69;2.982;4.331;7313
80025;2021;70 a 74;1.741;2.788;4529
80025;2021;75 e +;1.310;2.524;3834
80026;2021;00 a 04;1.167;1.118;2285
80026;2021;05 a 09;1.165;1.116;2281
80026;2021;10 a 14;899;870;1769
80026;2021;15 a 19;835;867;1702
80026;2021;20 a 24;994;972;1966
80026;2021;25 a 29;1.417;1.581;2998
80026;2021;30 a 34;2.763;3.056;5819
80026;2021;35 a 39;3.190;3.433;6623
80026;2021;40 a 44;2.622;2.789;5411
80026;2021;45 a 49;2.034;2.160;4194
80026;2021;50 a 54;1.698;1.941;3639
80026;2021;55 a 59;1.736;2.107;3843
80026;2021;60 a 64;1.614;2.153;3767
80026;2021;65 a 69;1.294;2.016;3310
80026;2021;70 a 74;1.059;1.731;2790
80026;2021;75 e +;1.571;3.328;4899
80027;2021;00 a 04;3.102;2.968;6070
80027;2021;05 a 09;3.445;3.297;6742
80027;2021;10 a 14;3.124;2.934;6058
80027;2021;15 a 19;3.055;2.942;5997
80027;2021;20 a 24;3.428;3.239;6667
80027;2021;25 a 29;3.557;3.573;7130
80027;2021;30 a 34;4.125;4.250;8375
80027;2021;35 a 39;4.629;5.010;9639
80027;2021;40 a 44;4.458;5.031;9489
80027;2021;45 a 49;3.813;4.457;8270
80027;2021;50 a 54;3.525;4.079;7604
80027;2021;55 a 59;3.384;4.137;7521
80027;2021;60 a 64;3.111;4.079;7190
80027;2021;65 a 69;2.434;3.517;5951
80027;2021;70 a 74;1.747;2.658;4405
80027;2021;75 e +;2.290;4.533;6823
80028;2021;00 a 04;4.033;3.843;7876
80028;2021;05 a 09;4.209;4.011;8220
80028;2021;10 a 14;3.824;3.680;7504
80028;2021;15 a 19;4.000;3.829;7829
80028;2021;20 a 24;4.751;4.537;9288
80028;2021;25 a 29;4.676;4.705;9381
80028;2021;30 a 34;4.842;5.156;9998
80028;2021;35 a 39;4.819;5.262;10081
80028;2021;40 a 44;4.399;4.931;9330
80028;2021;45 a 49;3.986;4.373;8359
80028;2021;50 a 54;3.655;4.009;7664
80028;2021;55 a 59;3.045;3.614;6659
80028;2021;60 a 64;2.513;3.177;5690
80028;2021;65 a 69;1.984;2.570;4554
80028;2021;70 a 74;1.367;1.764;3131
80028;2021;75 e +;1.340;2.197;3537
80029;2021;00 a 04;4.222;4.038;8260
80029;2021;05 a 09;4.512;4.319;8831
80029;2021;10 a 14;3.767;3.630;7397
80029;2021;15 a 19;3.900;3.826;7726
80029;2021;20 a 24;4.879;4.699;9578
80029;2021;25 a 29;4.940;4.934;9874
80029;2021;30 a 34;5.418;5.550;10968
80029;2021;35 a 39;5.654;6.168;11822
80029;2021;40 a 44;5.345;5.896;11241
80029;2021;45 a 49;4.550;5.273;9823
80029;2021;50 a 54;4.158;4.958;9116
80029;2021;55 a 59;4.005;4.887;8892
80029;2021;60 a 64;3.679;4.727;8406
80029;2021;65 a 69;2.806;3.860;6666
80029;2021;70 a 74;1.922;2.900;4822
80029;2021;75 e +;2.228;4.320;6548
80030;2021;00 a 04;15.384;14.672;30056
80030;2021;05 a 09;15.676;14.968;30644
80030;2021;10 a 14;13.651;13.116;26767
80030;2021;15 a 19;14.744;14.196;28940
80030;2021;20 a 24;17.606;17.456;35062
80030;2021;25 a 29;16.825;17.359;34184
80030;2021;30 a 34;16.362;16.870;33232
80030;2021;35 a 39;15.580;16.948;32528
80030;2021;40 a 44;14.039;15.752;29791
80030;2021;45 a 49;12.484;14.051;26535
80030;2021;50 a 54;11.241;12.736;23977
80030;2021;55 a 59;9.084;10.658;19742
80030;2021;60 a 64;7.065;8.642;15707
80030;2021;65 a 69;5.123;6.317;11440
80030;2021;70 a 74;3.243;4.300;7543
80030;2021;75 e +;2.570;4.016;6586
80031;2021;00 a 04;4.294;4.095;8389
80031;2021;05 a 09;4.337;4.140;8477
80031;2021;10 a 14;3.760;3.604;7364
80031;2021;15 a 19;4.066;3.934;8000
80031;2021;20 a 24;4.786;4.772;9558
80031;2021;25 a 29;4.852;4.784;9636
80031;2021;30 a 34;4.544;4.740;9284
80031;2021;35 a 39;4.280;4.647;8927
80031;2021;40 a 44;3.944;4.287;8231
80031;2021;45 a 49;3.451;3.848;7299
80031;2021;50 a 54;3.070;3.513;6583
80031;2021;55 a 59;2.525;3.020;5545
80031;2021;60 a 64;2.043;2.602;4645
80031;2021;65 a 69;1.545;2.030;3575
80031;2021;70 a 74;1.009;1.383;2392
80031;2021;75 e +;900;1.556;2456
80032;2021;00 a 04;1.848;1.762;3610
80032;2021;05 a 09;2.119;2.022;4141
80032;2021;10 a 14;2.034;1.958;3992
80032;2021;15 a 19;1.863;1.761;3624
80032;2021;20 a 24;1.976;1.922;3898
80032;2021;25 a 29;2.119;2.228;4347
80032;2021;30 a 34;2.586;3.037;5623
80032;2021;35 a 39;3.389;4.112;7501
80032;2021;40 a 44;3.858;4.690;8548
80032;2021;45 a 49;3.539;4.229;7768
80032;2021;50 a 54;3.022;3.492;6514
80032;2021;55 a 59;2.876;3.561;6437
80032;2021;60 a 64;2.724;3.525;6249
80032;2021;65 a 69;2.485;3.269;5754
